"Sample01" "Sample02" "Sample03" "Sample04" "Sample05" "Sample06" "Sample07" "Sample08" "Sample09" "Sample10" "Sample11" "Sample12" "Sample13" "Sample14" "Sample15" "Sample16" "Sample17" "Sample18" "Sample19" "Sample20" "Sample21" "Sample22" "Sample23" "Sample24" "Sample25" "Sample26" "Sample27" "Sample28" "Sample29" "Sample30" "Sample31" "Sample32" "Sample33" "Sample34" "Sample35" "Sample36" "Sample37" "Sample38" "Sample39" "Sample40" "Sample41" "Sample42" "Sample43" "Sample44" "Sample45" "Sample46" "Sample47" "Sample48" "Sample49" "Sample50" "Sample51" "Sample52" "Sample53" "Sample54" "Sample55" "Sample56" "Sample57" "Sample58" "Sample59" "Sample60" "Sample61" "Sample62" "Sample63"
"Microbe01" 1 1 2 2 0 0 2 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Microbe02" 0 0 0 0 0 0 0 0 0 0 0 0 0 7 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Microbe03" 0 0 3 1 2 0 1 0 1 0 0 1 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Microbe04" 1 1 0 6 2 0 1 0 0 0 0 4 0 0 0 1 1 0 0 0 3 1 1 1 2 3 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Microbe05" 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 2 0 0 0 0 0 0 1 0 1 3 1 0 0 3 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Microbe06" 2 0 0 1 0 1 4 39 0 0 0 0 0 2 0 0 0 0 0 0 0 9 0 1 0 0 1 0 1 0 2 0 2 0 29 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Microbe07" 28 7 24 12 15 100 4 18 29 8 1 7 3 1 0 21 3 55 0 0 2 32 8 12 26 6 29 3 30 20 2 0 0 0 6 0 7 1 0 19 0 0 0 144 32 11 10 19 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0
"Microbe08" 0 0 0 1 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 2 0 0 3 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0
"Microbe09" 0 0 0 1 0 0 0 0 0 0 0 9 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"Microbe10" 860 224 120 1107 440 1089 495 91 163 158 117 1386 9 137 298 51 371 2 1 225 668 32 111 260 759 610 35 1779 413 982 843 253 394 35 19 121 4 15 6 195 127 266 0 322 910 365 3 105 4 3 0 79 11 58 32 6 28 5 6 15 1 1 0
"Microbe11" 1 0 0 0 0 2 2 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Microbe12" 22 4 4 9 7 8 3 4 8 3 0 4 0 1 2 0 4 0 0 1 0 3 1 0 1 0 2 13 15 3 0 0 0 0 1 1 0 0 0 0 0 0 0 0 27 6 3 0 0 0 0 1 0 2 0 2 0 0 1 0 0 0 0
"Microbe13" 3 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 6 0 0 1 0 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Microbe14" 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Microbe15" 0 0 1 0 0 1 3 7 0 0 0 0 0 1 0 0 2 0 0 1 0 0 2 0 0 0 4 2 0 0 1 2 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"Microbe16" 3 1 1 0 1 0 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Microbe17" 0 0 0 0 0 0 0 9 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Microbe18" 0 0 0 0 0 1 4 2 0 0 1 4 1 0 0 0 0 0 0 1 0 0 2 1 2 0 1 2 2 0 0 2 0 0 1 2 0 1 0 1 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Microbe19" 0 26 1 2 0 0 3 0 3 16 0 3 0 1 3 0 3 0 2 15 0 0 0 1 2 1 0 2 1 1 0 1 4 0 0 0 0 0 0 4 0 2 0 3 1 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0
"Microbe20" 178 48 30 235 108 97 217 91 44 26 48 174 3 72 88 22 174 6 14 82 211 11 66 202 83 366 51 325 176 56 155 73 78 65 26 23 11 45 5 13 9 33 0 123 141 41 1 23 3 11 3 4 2 59 66 0 10 0 10 0 0 0 0
